Simulation.timestep  Simulation.tps  md.compute.ThermodynamicQuantities.kinetic_temperature md.compute.ThermodynamicQuantities.pressure md.compute.ThermodynamicQuantities.kinetic_energy md.compute.ThermodynamicQuantities.potential_energy md.compute.ThermodynamicQuantities.volume
      498100            8.73726                             1.00012                                          -0.04668                                      9.09485e+04                                        1.03410e+06                                    6.87808e+04               
      499100            8.68512                             0.99610                                          -0.06832                                      9.05830e+04                                        1.03519e+06                                    6.88600e+04               
      500100            8.69470                             0.99565                                           0.01694                                      9.05418e+04                                        1.03414e+06                                    6.87438e+04               
      501100            8.89049                             0.98575                                          -0.02040                                      8.96418e+04                                        1.03316e+06                                    6.85398e+04               
      502100            8.71355                             0.99139                                          -0.01247                                      9.01544e+04                                        1.03389e+06                                    6.85659e+04               
      503100            8.92462                             0.99419                                           0.01802                                      9.04090e+04                                        1.03465e+06                                    6.87376e+04               
      504100            8.66512                             1.00124                                           0.07357                                      9.10502e+04                                        1.03467e+06                                    6.87580e+04               
      505100            8.86151                             0.99455                                          -0.04737                                      9.04417e+04                                        1.03412e+06                                    6.87946e+04               
      506100            8.70557                             0.98835                                           0.04650                                      8.98779e+04                                        1.03300e+06                                    6.83991e+04               
      507100            8.67364                             0.99261                                           0.14249                                      9.02653e+04                                        1.03419e+06                                    6.84619e+04               
      508100            8.51747                             0.99561                                           0.10935                                      9.05382e+04                                        1.03439e+06                                    6.86356e+04               
      509100            9.12302                             0.99444                                          -0.07668                                      9.04322e+04                                        1.03518e+06                                    6.88153e+04               
      510100            8.97287                             0.99509                                          -0.06747                                      9.04914e+04                                        1.03500e+06                                    6.88396e+04               
      511100            8.92777                             0.99423                                          -0.02951                                      9.04127e+04                                        1.03522e+06                                    6.87888e+04               
      512100            8.94679                             0.99608                                           0.03762                                      9.05812e+04                                        1.03592e+06                                    6.87916e+04               
      513100            8.97679                             0.99877                                          -0.05615                                      9.08254e+04                                        1.03598e+06                                    6.89403e+04               
      514100            8.96007                             0.98784                                        -3.15664e-04                                    8.98318e+04                                        1.03431e+06                                    6.87387e+04               
      515100            8.91278                             0.98834                                           0.04976                                      8.98767e+04                                        1.03513e+06                                    6.86849e+04               
      516100            8.94380                             0.99496                                          -0.05786                                      9.04791e+04                                        1.03575e+06                                    6.89264e+04               
      517100            8.96736                             0.98663                                          -0.12248                                      8.97220e+04                                        1.03520e+06                                    6.88839e+04               
