Simulation.timestep md.compute.ThermodynamicQuantities.kinetic_temperature md.compute.ThermodynamicQuantities.pressure md.compute.ThermodynamicQuantities.kinetic_energy md.compute.ThermodynamicQuantities.potential_energy md.compute.ThermodynamicQuantities.volume
       14700                               0.91507                                          -0.06365                                      3003.26405                                         22902.58100                                    2571.59549                
       14800                               0.85136                                          -0.16606                                      2794.14971                                         22930.95453                                    2563.21056                
       14900                               0.87602                                          -0.15279                                      2875.10175                                         22848.50739                                    2544.94356                
       15000                               0.89656                                           0.13052                                      2942.51706                                         22900.25830                                    2531.20833                
       15100                               0.90838                                           0.11487                                      2981.30993                                         23005.78233                                    2526.56028                
       15200                               0.91270                                           0.01993                                      2995.47503                                         23132.43261                                    2525.07112                
       15300                               0.89689                                          -0.14511                                      2943.59451                                         23099.34086                                    2535.24670                
       15400                               0.86225                                           0.00219                                      2829.90454                                         23258.03289                                    2551.98459                
       15500                               0.89241                                           0.15043                                      2928.89356                                         23447.63987                                    2546.67356                
       15600                               0.91933                                           0.13591                                      3017.23252                                         23608.84844                                    2540.28811                
       15700                               0.91488                                           0.08144                                      3002.63742                                         23554.68022                                    2548.05342                
       15800                               0.86092                                          -0.03795                                      2825.55441                                         23637.16275                                    2563.45807                
       15900                               0.85591                                          -0.09035                                      2809.08735                                         23712.68420                                    2559.89738                
       16000                               0.89425                                           0.10150                                      2934.92761                                         23803.79393                                    2564.42680                
       16100                               0.92274                                          -0.18954                                      3028.41843                                         23882.10240                                    2575.06999                
       16200                               0.90243                                           0.03344                                      2961.77606                                         23967.71849                                    2582.69405                
       16300                               0.89695                                          -0.21292                                      2943.79556                                         23913.82371                                    2577.73397                
       16400                               0.89689                                          -0.11268                                      2943.59277                                         23809.59378                                    2557.30289                
       16500                               0.90135                                           0.14333                                      2958.22580                                         23812.71927                                    2531.22111                
       16600                               0.89052                                           0.28386                                      2922.69309                                         23829.67356                                    2516.44879                
       16700                               0.88801                                           0.00153                                      2914.44861                                         23814.69881                                    2511.69660                
       16800                               0.88198                                           0.37126                                      2894.67278                                         23869.63803                                    2490.68292                
       16900                               0.88390                                           0.39333                                      2900.96427                                         23844.08874                                    2490.66741                
       17000                               0.87492                                          -0.33329                                      2871.47964                                         23919.75706                                    2520.31843                
       17100                               0.88593                                          -0.08362                                      2907.61607                                         24085.88533                                    2534.32219                
       17200                               0.91595                                           0.03658                                      3006.16308                                         24205.91721                                    2526.55182                
       17300                               0.93987                                           0.13289                                      3084.64483                                         24177.07278                                    2516.96610                
       17400                               0.87258                                           0.09744                                      2863.81102                                         24255.34220                                    2533.45590                
       17500                               0.84945                                          -0.21198                                      2787.89645                                         24264.36566                                    2554.38218                
       17600                               0.88625                                          -0.07100                                      2908.65934                                         24326.18622                                    2536.54330                
       17700                               0.93485                                           0.06479                                      3068.18817                                         24436.09592                                    2520.02907                
       17800                               0.92736                                          -0.11574                                      3043.58818                                         24440.26490                                    2536.53140                
       17900                               0.84536                                          -0.01470                                      2774.48667                                         24503.42183                                    2553.11069                
       18000                               0.85616                                          -0.39719                                      2809.92915                                         24518.41609                                    2553.86643                
       18100                               0.90578                                           0.09250                                      2972.77752                                         24643.12816                                    2533.53822                
       18200                               0.94678                                           0.53656                                      3107.33471                                         24663.02371                                    2516.97708                
       18300                               0.91070                                           0.32813                                      2988.92296                                         24611.19232                                    2515.02942                
       18400                               0.87457                                          -0.17818                                      2870.33618                                         24534.04500                                    2513.81973                
       18500                               0.84858                                          -0.24945                                      2785.05162                                         24541.14420                                    2521.06069                
       18600                               0.91708                                           0.16536                                      3009.85123                                         24601.45723                                    2511.44396                
       18700                               0.93564                                           0.19515                                      3070.77542                                         24828.57393                                    2516.54547                
       18800                               0.91990                                           0.55730                                      3019.10687                                         24920.25540                                    2541.97101                
       18900                               0.87362                                          -0.63211                                      2867.20735                                         25022.80719                                    2579.74473                
       19000                               0.86641                                          -0.06716                                      2843.56430                                         25054.15374                                    2579.30508                
       19100                               0.90780                                          -0.20454                                      2979.39443                                         25091.65697                                    2550.37376                
       19200                               0.93948                                           0.17590                                      3083.38015                                         25098.79033                                    2535.10428                
       19300                               0.87876                                           0.21574                                      2884.08801                                         25134.99313                                    2537.70074                
       19400                               0.85944                                          -0.12937                                      2820.68937                                         25076.25864                                    2547.51205                
       19500                               0.87276                                          -0.28042                                      2864.41182                                         25072.89831                                    2536.98249                
       19600                               0.91771                                          -0.01688                                      3011.92025                                         25162.87398                                    2516.33561                
       19700                               0.94321                                          -0.08357                                      3095.62337                                         25158.29415                                    2527.39086                
       19800                               0.89212                                           0.07110                                      2927.95048                                         25221.99122                                    2536.08504                
       19900                               0.88311                                           0.16062                                      2898.38064                                         25181.05071                                    2524.11559                
       20000                               0.89664                                          -0.24162                                      2942.78106                                         25164.52079                                    2511.63435                
       20100                               0.88526                                           0.02866                                      2905.41692                                         25251.83638                                    2523.60987                
       20200                               0.89838                                           0.04014                                      2948.49900                                         25316.36237                                    2528.48605                
       20300                               0.89840                                           0.10030                                      2948.54862                                         25369.84570                                    2526.61179                
       20400                               0.89549                                          -0.16675                                      2939.00119                                         25344.42705                                    2523.43899                
       20500                               0.88594                                          -0.12184                                      2907.64254                                         25317.07764                                    2519.56735                
       20600                               0.90226                                          -0.01703                                      2961.22666                                         25295.58160                                    2515.42883                
       20700                               0.87544                                           0.04563                                      2873.18785                                         25456.70688                                    2535.95937                
       20800                               0.89549                                           0.02921                                      2938.98416                                         25566.99157                                    2539.04876                
       20900                               0.94681                                          -0.17293                                      3107.42856                                         25515.32053                                    2521.63307                
       21000                               0.92718                                           0.23180                                      3043.00758                                         25437.26508                                    2506.51402                
       21100                               0.87775                                           0.03926                                      2880.77918                                         25354.57736                                    2503.58739                
       21200                               0.86151                                          -0.38294                                      2827.48988                                         25370.00607                                    2507.50739                
       21300                               0.87645                                           0.24850                                      2876.52018                                         25476.68476                                    2500.88551                
       21400                               0.92921                                          -0.12552                                      3049.67796                                         25583.96455                                    2514.75483                
       21500                               0.92887                                          -0.01434                                      3048.56541                                         25697.34150                                    2519.79242                
       21600                               0.90918                                           0.09984                                      2983.92317                                         25633.50385                                    2515.65789                
       21700                               0.87636                                          -0.03572                                      2876.22610                                         25509.80810                                    2511.95346                
       21800                               0.86162                                          -0.27962                                      2827.82291                                         25502.05728                                    2514.78486                
       21900                               0.89404                                           0.11594                                      2934.22781                                         25587.39284                                    2497.19288                
       22000                               0.92251                                           0.31528                                      3027.67486                                         25679.85384                                    2498.16770                
       22100                               0.91760                                           0.01663                                      3011.56403                                         25698.02381                                    2509.17054                
       22200                               0.88694                                          -0.05931                                      2910.92757                                         25693.51667                                    2520.07753                
       22300                               0.87532                                          -0.42582                                      2872.80695                                         25762.45672                                    2523.43729                
       22400                               0.89390                                           0.02015                                      2933.77962                                         25781.90022                                    2516.09604                
       22500                               0.89152                                           0.16904                                      2925.96879                                         25846.76259                                    2509.17027                
       22600                               0.90772                                          -0.00148                                      2979.14405                                         25778.09681                                    2505.13791                
       22700                               0.87410                                           0.43575                                      2868.80558                                         25841.61618                                    2503.99096                
       22800                               0.88291                                           0.19218                                      2897.71404                                         25793.34888                                    2498.33290                
       22900                               0.88188                                           0.36217                                      2894.34124                                         25890.39223                                    2496.77817                
