crosslink_id	type	effective_functionality	scanlan_classification
1974	Tetra-S	2	bridging
1979	Tetra-S	0	ineffective
1984	Tetra-S	4	effective
1989	Tetra-S	2	bridging
1994	Tetra-S	3	effective
1999	Tetra-S	0	ineffective
2004	Tetra-S	2	bridging
2009	Tetra-S	2	bridging
2014	Tetra-S	3	effective
2019	Tetra-S	3	effective
2024	Tetra-S	3	effective
2029	Tetra-S	2	bridging
2034	Tetra-S	4	effective
2039	Tetra-S	2	bridging
2044	Tetra-S	2	bridging
2054	Tetra-S	0	ineffective
2059	Tetra-S	3	effective
2064	Tetra-S	3	effective
2069	Tetra-S	3	effective
2074	Tetra-S	2	bridging
2079	Tetra-S	2	bridging
2084	Tetra-S	4	effective
2089	Tetra-S	4	effective
2094	Tetra-S	4	effective
2099	Tetra-S	2	bridging
2104	Tetra-S	3	effective
2109	Tetra-S	0	ineffective
2114	Tetra-S	2	bridging
2119	Tetra-S	2	bridging
2124	Tetra-S	4	effective
2129	Tetra-S	4	effective
2134	Tetra-S	3	effective
2139	Tetra-S	3	effective
2144	Tetra-S	2	bridging
2149	Tetra-S	2	bridging
2154	Tetra-S	2	bridging
2159	Tetra-S	4	effective
2164	Tetra-S	2	bridging
2169	Tetra-S	2	bridging
2174	Tetra-S	2	bridging
2179	Tetra-S	2	bridging
2184	Tetra-S	0	ineffective
2189	Tetra-S	3	effective
2194	Tetra-S	2	bridging
2199	Tetra-S	4	effective
2204	Tetra-S	3	effective
2209	Tetra-S	3	effective
2214	Tetra-S	2	bridging
2219	Tetra-S	4	effective
2224	Tetra-S	3	effective
2229	Tetra-S	3	effective
2234	Tetra-S	0	ineffective
2239	Tetra-S	4	effective
2244	Tetra-S	3	effective
2249	Tetra-S	3	effective
2259	Tetra-S	0	ineffective
2264	Tetra-S	4	effective
2269	Tetra-S	3	effective
2274	Tetra-S	2	bridging
2279	Tetra-S	2	bridging
2289	Tetra-S	3	effective
2294	Tetra-S	2	bridging
2299	Tetra-S	2	bridging
2304	Tetra-S	3	effective
2309	Tetra-S	3	effective
2314	Tetra-S	4	effective
2319	Tetra-S	2	bridging
2329	Tetra-S	2	bridging
2334	Tetra-S	3	effective
2339	Tetra-S	4	effective
2344	Tetra-S	0	ineffective
2349	Tetra-S	4	effective
2354	Tetra-S	2	bridging
2359	Tetra-S	3	effective
2364	Tetra-S	3	effective
2369	Tetra-S	2	bridging
2374	Tetra-S	2	bridging
2379	Tetra-S	4	effective
2389	Tetra-S	0	ineffective
2394	Tetra-S	3	effective
2399	Tetra-S	3	effective
2404	Tetra-S	2	bridging
2409	Tetra-S	0	ineffective
2414	Tetra-S	3	effective
2419	Tetra-S	3	effective
2424	Tetra-S	0	ineffective
2429	Tetra-S	3	effective
2434	Tetra-S	3	effective
2439	Tetra-S	2	bridging
2444	Tetra-S	3	effective
2449	Tetra-S	2	bridging
2454	Tetra-S	0	ineffective
2459	Tetra-S	2	bridging
2469	Tetra-S	3	effective
2474	Tetra-S	3	effective
2479	Tetra-S	0	ineffective
2484	Tetra-S	2	bridging
2489	Tetra-S	4	effective
2494	Tetra-S	2	bridging
2499	Tetra-S	2	bridging
2504	Tetra-S	0	ineffective
2509	Tetra-S	4	effective
2514	Tetra-S	0	ineffective
2519	Tetra-S	3	effective
2524	Tetra-S	3	effective
2529	Tetra-S	3	effective
