Simulation.timestep md.compute.ThermodynamicQuantities.kinetic_temperature md.compute.ThermodynamicQuantities.pressure md.compute.ThermodynamicQuantities.kinetic_energy md.compute.ThermodynamicQuantities.potential_energy md.compute.ThermodynamicQuantities.volume
       13500                               0.92772                                           0.02134                                      2783.16971                                         13478.95384                                    2479.90406                
       13600                               0.91771                                          -0.11073                                      2753.13956                                         13534.80350                                    2497.01631                
       13700                               0.90065                                          -0.14245                                      2701.96246                                         13540.27780                                    2494.79376                
       13800                               0.89428                                          -0.03324                                      2682.82570                                         13467.54078                                    2483.02395                
       13900                               0.89309                                           0.06231                                      2679.27745                                         13414.13371                                    2463.03464                
       14000                               0.89601                                          -0.20305                                      2688.01643                                         13419.79690                                    2448.57221                
       14100                               0.89378                                           0.44214                                      2681.35307                                         13448.79956                                    2420.55135                
       14200                               0.89166                                           0.03668                                      2674.97757                                         13446.95967                                    2432.22552                
       14300                               0.85607                                          -0.34995                                      2568.21902                                         13564.88004                                    2458.99599                
       14400                               0.88149                                          -0.33908                                      2644.46918                                         13691.83920                                    2486.07094                
       14500                               0.91813                                          -0.00351                                      2754.37917                                         13866.85930                                    2496.97774                
       14600                               0.95004                                          -0.18021                                      2850.12671                                         13941.09020                                    2494.23321                
       14700                               0.91560                                           0.02380                                      2746.78652                                         13907.97333                                    2496.35515                
       14800                               0.86200                                          -0.06656                                      2585.99671                                         13844.66923                                    2486.88180                
       14900                               0.87039                                          -0.37157                                      2611.16574                                         13733.81957                                    2469.77372                
       15000                               0.88192                                           0.01968                                      2645.74915                                         13788.04137                                    2453.51742                
       15100                               0.92506                                           0.10620                                      2775.17456                                         13747.18332                                    2442.95945                
       15200                               0.91271                                           0.20248                                      2738.13234                                         13777.95885                                    2433.28986                
       15300                               0.90044                                           0.03581                                      2701.33289                                         13691.04658                                    2439.68534                
       15400                               0.84418                                          -0.47954                                      2532.54948                                         13786.07447                                    2461.12885                
       15500                               0.87693                                           0.08483                                      2630.77545                                         13841.59486                                    2446.49960                
       15600                               0.92621                                           0.41815                                      2778.62297                                         13887.54418                                    2431.74347                
       15700                               0.89297                                           0.33784                                      2678.89546                                         14030.47402                                    2443.69496                
       15800                               0.87850                                          -0.20368                                      2635.51145                                         13945.06624                                    2466.78262                
       15900                               0.86536                                          -0.17365                                      2596.06597                                         13917.23321                                    2463.68094                
       16000                               0.89780                                          -0.26138                                      2693.39381                                         13956.99589                                    2465.18321                
       16100                               0.92705                                          -0.12074                                      2781.16491                                         14005.68907                                    2464.67621                
       16200                               0.91866                                           0.34629                                      2755.96510                                         14064.23912                                    2462.94875                
       16300                               0.90093                                           0.07361                                      2702.80281                                         14069.95964                                    2465.59926                
       16400                               0.87478                                           0.11209                                      2624.33329                                         14055.83897                                    2463.91322                
       16500                               0.88065                                           0.16604                                      2641.94839                                         14036.91831                                    2445.33598                
       16600                               0.91075                                           0.04162                                      2732.25044                                         13997.84136                                    2432.94234                
       16700                               0.90330                                           0.05726                                      2709.90319                                         14000.11095                                    2430.07106                
       16800                               0.89927                                           0.11004                                      2697.81361                                         13974.24174                                    2419.60942                
       16900                               0.89232                                          -0.07885                                      2676.96828                                         13964.10912                                    2426.36500                
       17000                               0.87959                                          -0.23868                                      2638.76867                                         14073.73998                                    2448.35197                
       17100                               0.89843                                           0.24782                                      2695.29944                                         14190.10529                                    2450.14365                
       17200                               0.91898                                           0.16398                                      2756.94762                                         14240.13896                                    2439.23594                
       17300                               0.91492                                           0.17546                                      2744.75151                                         14237.73441                                    2430.04960                
       17400                               0.88277                                          -0.06674                                      2648.30105                                         14205.79355                                    2440.01124                
       17500                               0.85328                                          -0.38009                                      2559.84724                                         14246.80781                                    2447.86655                
       17600                               0.92118                                           0.08169                                      2763.52699                                         14230.75566                                    2417.58699                
       17700                               0.94595                                           0.22234                                      2837.86362                                         14228.51575                                    2398.07670                
       17800                               0.86353                                           0.31842                                      2590.60063                                         14351.98308                                    2416.70511                
       17900                               0.85227                                          -0.46383                                      2556.80529                                         14325.51472                                    2436.22311                
       18000                               0.89023                                          -0.15618                                      2670.67671                                         14383.98943                                    2441.15755                
       18100                               0.92679                                          -0.05190                                      2780.37677                                         14482.85004                                    2434.75651                
       18200                               0.92281                                           0.41392                                      2768.43088                                         14527.57587                                    2428.90162                
       18300                               0.89421                                           0.09763                                      2682.63803                                         14442.35138                                    2424.64701                
       18400                               0.86161                                          -0.10165                                      2584.83495                                         14381.37711                                    2418.02079                
       18500                               0.84738                                           0.17874                                      2542.14307                                         14414.67908                                    2419.37518                
       18600                               0.87639                                           0.31109                                      2629.18024                                         14501.37007                                    2409.52395                
       18700                               0.91019                                           0.20462                                      2730.55665                                         14593.85773                                    2414.87066                
       18800                               0.91800                                           0.00856                                      2753.99886                                         14572.34261                                    2433.87484                
       18900                               0.85592                                          -0.06310                                      2567.77410                                         14667.45325                                    2459.18674                
       19000                               0.87234                                          -0.49663                                      2617.00624                                         14671.43878                                    2470.26975                
       19100                               0.92588                                          -0.12162                                      2777.63630                                         14703.37155                                    2453.92105                
       19200                               0.92721                                           0.10867                                      2781.63285                                         14756.41405                                    2441.76803                
       19300                               0.88638                                          -0.06260                                      2659.13523                                         14753.13059                                    2450.55954                
       19400                               0.85839                                          -0.38628                                      2575.17838                                         14742.83928                                    2469.16931                
       19500                               0.87304                                          -0.16588                                      2619.11635                                         14805.94147                                    2455.53828                
       19600                               0.92473                                           0.11509                                      2774.19051                                         14855.01498                                    2427.73542                
       19700                               0.90529                                           0.30496                                      2715.85992                                         14898.88300                                    2436.42688                
       19800                               0.87796                                          -0.18944                                      2633.88493                                         14787.80597                                    2446.92019                
       19900                               0.86506                                          -0.01019                                      2595.16500                                         14744.24366                                    2432.67036                
       20000                               0.91350                                          -0.23010                                      2740.48943                                         14700.67238                                    2411.11848                
       20100                               0.92089                                          -0.00670                                      2762.67910                                         14746.71256                                    2411.60563                
       20200                               0.91108                                           0.12347                                      2733.23863                                         14757.53978                                    2415.87183                
       20300                               0.87721                                          -0.14695                                      2631.62037                                         14827.21662                                    2421.07249                
       20400                               0.86897                                          -0.12887                                      2606.91940                                         14842.30298                                    2426.22115                
       20500                               0.91650                                          -0.07035                                      2749.50781                                         14829.04209                                    2429.17771                
       20600                               0.90168                                          -0.03446                                      2705.02910                                         14989.89992                                    2438.37321                
       20700                               0.90123                                          -0.25573                                      2703.67627                                         15019.44511                                    2473.75532                
       20800                               0.89667                                          -0.41994                                      2690.00712                                         15072.51001                                    2483.25132                
       20900                               0.92371                                           0.00568                                      2771.12126                                         15027.64143                                    2454.72859                
       21000                               0.93480                                           0.12802                                      2804.39019                                         14911.24421                                    2418.72287                
       21100                               0.89076                                           0.07821                                      2672.29455                                         14797.01421                                    2398.19310                
       21200                               0.83796                                          -0.09767                                      2513.86867                                         14737.12943                                    2390.45836                
       21300                               0.87120                                           0.12180                                      2613.58935                                         14642.35439                                    2377.38900                
       21400                               0.89616                                           0.00031                                      2688.46917                                         14717.89405                                    2389.16724                
       21500                               0.92701                                           0.19124                                      2781.01879                                         14812.62561                                    2397.71732                
       21600                               0.92848                                           0.01383                                      2785.44345                                         14869.92472                                    2405.29445                
       21700                               0.90119                                           0.01205                                      2703.57222                                         14882.12905                                    2419.74018                
       21800                               0.85684                                          -0.33426                                      2570.53232                                         14924.53041                                    2429.87163                
