<<<<<<< Updated upstream
159 0.43071819872342565 0.43094199629016894
160 0.4331306227069407 0.4328470446683712
161 0.4349399406945771 0.43465182734245755
162 0.4365482233502538 0.4364064771644859
163 0.4382067648389204 0.43786032987416657
164 0.4398150474945972 0.4396149796961949
165 0.4422777303111022 0.4417706923346869
166 0.44383575413378906 0.4439264049731789
167 0.4459466251193648 0.4457813204993232
168 0.44745439010906163 0.44763623602546754
169 0.44976629642659693 0.4491402215872061
170 0.451726390913203 0.45129593422569814
171 0.4535859677338292 0.4533012483080162
172 0.455194250389506 0.4552062966862185
173 0.4567522742121928 0.45666014939589916
174 0.45851133336683925 0.4580137364014639
175 0.4600190983565362 0.4599187847796661
176 0.4616273810122129 0.4616734346016945
177 0.4632356636678896 0.4636286158319547
178 0.4652962758204755 0.46488193713340353
179 0.46660300547821276 0.4666867198074899
180 0.46836206463285923 0.46819070536922847
181 0.46976931195657634 0.4698952223391989
182 0.4715283711112228 0.47175013786534314
183 0.4729356184349399 0.473003459166792
184 0.47434286575865703 0.4745575775805886
185 0.47549881891742474 0.47551010176968966
186 0.47760968990300046 0.47741515014789193
187 0.4789164195607378 0.4788188700055146
188 0.4804744433834246 0.4804732541234271
189 0.48198220837312156 0.48167644257281794
190 0.48333919686384885 0.48328069383867245
191 0.48474644418756596 0.4845841479921793
192 0.48635472684324266 0.48593773499774406
193 0.4880132683319093 0.48754198626359857
194 0.48957129215459616 0.4892966360856269
195 0.4910790571442931 0.49105128590765523
196 0.4928381162989396 0.49265553717350985
197 0.4941951047896668 0.4939589913270166
198 0.49600442277730306 0.49576377400110294
199 0.4977132230989596 0.4971173610066677
200 0.49922098808865656 0.49892214368075405
201 0.5005779765793839 0.5005263949466086
202 0.5020354827360909 0.5018298491001153
203 0.5035935065587778 0.503133303253622
204 0.5053525657134241 0.5052388830400562
205 0.5068100718701312 0.5066927357497368
206 0.5087701663567372 0.5080463227553016
207 0.5099763783484947 0.5094500426129243
208 0.511383625672212 0.5107033639143731
209 0.5131929436598482 0.5123076151802276
210 0.514750967482535 0.5144633278187196
211 0.5161079559732623 0.5159171805284002
212 0.5173644267980098 0.5168697047175014
213 0.5185203799567775 0.5181731588710081
214 0.5199778861134845 0.5195267458765729
215 0.5211338392722521 0.5208302000300797
216 0.522641604261949 0.5223341855918183
217 0.5244006634165954 0.5240387025617887
218 0.5255063577423732 0.5251917581591217
219 0.5266623109011408 0.5263448137564546
220 0.5286224053877469 0.527999197874367
221 0.5302809468764136 0.5295533162881636
222 0.5318892295320903 0.5311074347019602
223 0.533497512187767 0.5325612874116408
224 0.5346534653465347 0.5337644758610317
225 0.5363120068352013 0.5352684614227703
226 0.5375182188269588 0.5368727126886248
227 0.5388249484846962 0.5381260339900737
228 0.5405337488063527 0.5396300195518122
229 0.5417399607981103 0.5411841379656088
230 0.5428959139568779 0.5422870607108838
231 0.5443534201135849 0.5438411791246804
232 0.5455093732723526 0.5452448989823031
233 0.5471176559280293 0.5465984859878679
234 0.5483238679197868 0.547500877324911
235 0.5499824094084536 0.5494059257031132
236 0.550736291903302 0.5502581841880985
237 0.5517917273960898 0.5511605755251416
238 0.5533497512187767 0.5524640296786485
239 0.555159069206413 0.5543189452047927
240 0.5563652811981705 0.5558730636185892
241 0.557571493189928 0.5571263849200381
242 0.5585766698497261 0.5580789091091392
243 0.5595315876765341 0.5593322304105881
244 0.5609388350002513 0.5603348874517471
245 0.5627984118208775 0.5618388730134858
246 0.5637533296476855 0.5627913972025869
247 0.5651605769714028 0.5639444527999198
248 0.5663667889631603 0.5654985712137164
249 0.5675730009549178 0.5668020253672231
250 0.5688797306126552 0.5676041510001504
251 0.5702869779363724 0.5691081365618891
252 0.5715937075941097 0.5708126535318594
253 0.5733025079157662 0.572366771945656
254 0.5744584610745338 0.5737203589512208
255 0.5757149318992814 0.5747230159923797
256 0.5769211438910389 0.5760264701458866
257 0.5780770970498065 0.5770291271870457
258 0.5790822737096044 0.5783827141926103
259 0.5802382268683721 0.5795859026420014
260 0.5814444388601296 0.5810898882037399
261 0.5823993566869377 0.582042412392841
262 0.5836558275116852 0.5832957336942899
263 0.5851133336683922 0.5850002506642603
264 0.58626928682716 0.5859527748533614
265 0.5876262753178871 0.5870556975986364
266 0.588681710810675 0.588409284604201
267 0.5899884404684124 0.5895623402015341
268 0.59114439362718 0.5904647315385771
269 0.5923003467859476 0.5915175214317943
270 0.5938081117756446 0.592871108437359
271 0.5948635472684325 0.5942246954429238
272 0.5960195004272001 0.5953276181881988
273 0.5972257124189576 0.5967313380458215
274 0.5984821832437051 0.5979345264952123
275 0.5999396894004121 0.599288113500777
276 0.6009951248932 0.60044116909811
277 0.602452631049907 0.6018448889557326
278 0.603910137206614 0.6030982102571816
279 0.6052671256973413 0.6044517972627463
280 0.6060210081921897 0.6054043214518474
281 0.6067748906870383 0.6062064470847747
